Non-Malicious,Sexist,Racist,Personal Attack
You’re so SMART,I would love a female president though.,What is going on with white women? ,Trump is a crazed and unstable madman with no humanity. 
Y’all they are so beautiful,What is going on with white women?,Is she going to wear that towel all the time?,Trump is a fascist.
WHOA,He is so girly,White people,The Dotard is an embarrassment to the USA.
Yoooooooo thats insane bro...,I don't trust her one bit.,"Yes, three indians who are defending their filthy shithole country",This film is insanely flawed
This is Greatest video ever made,I do not believe women belong in politics.,He looks pretty whacked,If Westwood was looking after the safety and welfare of her neighbors she was doing what is suggested when there are strangers around the neighborhood
so exciteddddd YASS,Who is going to do the washing and the dishes?,Another white in the making domestic terrorist.,I question why she was fired if she was not working and not representing the company.
I love You so much,What seems to be the problem with the third woman from the left !!!,Whites all around the cornea is crazy written all over.,She isn't beautiful outside or in.
I wanna kiss ur face,Did she clear this with her husband?,Learn how to use a toilet ,Gross
MY LOVELY MEN!!,Hope you ladies will enjoy being owned like goats when they get through with your rights.,Says the street shitter.,Stop your nonsense!
Damnnn it sounds beautiful,Why should we help the lgbts,I hate stupid white people like that.,Because Justin bieber makes shitty music
I love soccer,Women are maning up,Sounds juuuust white,Hailey is a very bad
Can’t believe we’re getting an album from the musical genius himself, A muslum woman,He looks sain to me LOL,She is ugly
U look good dude,"Women, generally speaking, are not leaders, they become dictators.",you should know that it’s only white kids that shoot up schools,You suck
Hehehehe,They say a woman’s work is never done,she sure looks deranged,fuck you I hate yu
Love it,Lesbians are bad influences,what’s up with blacks with white clothes???,Booooooo 
Lmao this pic is funny HAHAHA ded,"Is she qualified for the job or is being ""muslim and a woman"" all there is?",I trust Muslims as far as I can throw my car,ass whole
The boys would love this show!,And her qualifications are??? Just that she’s a woman??,Muslim Power.,This is what evil looks like
Excited,Are you gays and trannys liking it yet?,it's black people who shoot up the neighborhoods.,Deport these illegals fucks
Awesomely amazing!!!,I was never a dress,"Is she qualified for the job or is being ""muslim and a woman"" all there is?",That dude has the most punchable face I’ve seen in quite a while.
Dude! Awesome,gays should be separated,Niggas was acting fucking dumb,it’s also true that u like to be racist
Just followed you!,power should be monopolized by men,crazy old white dude ,you a IDIOT
Oh Yes!!!!!,Yet another crazy white guy.,Destroy Islam.,More of the same from the useless democrats.
I love this idea!,women can never follow men,Korea is acceptable but China…..,I hate him
Need my son to watch this!,do you think women should have such power?,Whites should not bring a fight to blacks,He is so smart he does not know what it means.
Post more!,Women are toys,What’s wrong with whites,He is an ugly rude no class punk
It’s lit,Another man with a gun.,why are you so orange?,She is a coward and dishonest
Love my Mexicans,"What a petty, pathetic tiny “man”.",Why would any western woman vote for any Muslim?,Weakling
This is the best thing I’ve ever seen,Take it like a man,Do these people think any Muslim run country in the world is better then the US?,So thin skinned. And irrational. Unprofessional.
God bless you all always,Make it a crime for white women to cohabitate with white men.,"Are white, Christian, Republican men going to grow up?",She knows all about being rude
A perfect blend of you both,She’ll need to vote the way her man tells her at least.,Embarrassing old man with a pink mask,"What a snow flake little girl, pathetic."
Beautiful!,"I get they are women, but were they the most qualified?",Muslims are going to destroy this country. ,she is a BLACK RACIST
"Jesus loves you, and I will pray for you",one man equals two women.,How can people be so foolish as to vote a Muslim into office? ,F him!
LEGENDARY ICON,Men have a better control of their children. ,muslims do NOT belong in American office for any reason!,The media are liars and racists
Great Crew,transgender should not be voted,Why are you orange Orange One?,A sore loser.
So good,Women are the cause for the weakening and destruction of Western Civilization. They shouldn't be allowed to vote.,will they demand all the women wear the towels on their heads?,Looks insane
Interesting,All men are disgusting,he invited a 'white nationalist' to the WH.,"a coward, a liar, a rip off artist, a con man, a traitor, and a baby"
Guess its gonna be epic,A bunch of air headed emotional women in congress ? I think it will be a disaster,I don't trust these Muslims in govt at all. ,Look at that goofy face
Omg omg omg omg omg omg omg omg… OMFG!,"So, who is going to iron my shirt?",Wake up America or you will be living in a country where these two Muslims belong.,he should be in a prison.
I think there is hope,Stupid women,Wow the jews must be celebrating the diversity they forced into white countries.,Monster
My god!,FGM for every woman.,Muslims are not good for the U S.,He looks loopy and scary
THIS IS SO LITT!!,White men are trash,White man kills wife and two girls,This animal wasn't a father
Oh yass,men always have issues,That so-called superior white race just keeps on giving. ,Something that looks like him would scare you to death.
Finally!,men are good at sports,Good old white boy,Selfish little psychopath
True is a sweet and very happy baby,I think all the gay dems excited about this should go to Iran and have a gay pride parade and see what happens.,I will never bow or support a Muslim.,frickin freak -
Sweet angel!,Men are far better single parents than women. ,Reduce the amount of religions in your country,This is where the death should be enforced
Mom and daughter. It doesn’t get better than this,I'm surprised her husband even let her run.,Hindus are loud,Too bad the cops didn't shoot him
"Lovely picture,,, beautiful baby and mama",That's a woman???,Another angry white guy,What an idiot.
Wowwwwwwwwwww,If there are gay people dumb enough to live in Ketucky they deserve what they get......,Race is a factor in his arrest,I hope his fellow inmates deliver the sentence he deserves.
Beauty,I would never vote a woman,Will she have a parking spot for her camel??,"Another drugged up liberal wacko, ready to to crazy"
Our future depends on it,What’s up with women these days,WHITE GUY WITH A GUN...! ,terminate him slowly with maximum suffering please.
"Im not American if I was, I would definitely do everything you said in this video",Women are weak,White men need to be corralled,what a coward
