Type,Comment
Non-Malicious,You’re so SMART
Non-Malicious,Y’all they are so beautiful
Non-Malicious,WHOA
Non-Malicious,Yoooooooo thats insane bro...
Non-Malicious,This is Greatest video ever made
Non-Malicious,so exciteddddd YASS
Non-Malicious,I love You so much
Non-Malicious,I wanna kiss ur face
Non-Malicious,MY LOVELY MEN!!
Non-Malicious,Damnnn it sounds beautiful
Non-Malicious,I love soccer
Non-Malicious,Can’t believe we’re getting an album from the musical genius himself
Non-Malicious,U look good dude
Non-Malicious,Hehehehe
Non-Malicious,Love it
Non-Malicious,Lmao this pic is funny HAHAHA ded
Non-Malicious,The boys would love this show!
Non-Malicious,Excited
Non-Malicious,Awesomely amazing!!!
Non-Malicious,Dude! Awesome
Non-Malicious,Just followed you!
Non-Malicious,Oh Yes!!!!!
Non-Malicious,I love this idea!
Non-Malicious,Need my son to watch this!
Non-Malicious,Post more!
Non-Malicious,It’s lit
Non-Malicious,Love my Mexicans
Non-Malicious,This is the best thing I’ve ever seen
Non-Malicious,God bless you all always
Non-Malicious,A perfect blend of you both
Non-Malicious,Beautiful!
Non-Malicious,"Jesus loves you, and I will pray for you"
Non-Malicious,LEGENDARY ICON
Non-Malicious,Great Crew
Non-Malicious,So good
Non-Malicious,Interesting
Non-Malicious,Guess its gonna be epic
Non-Malicious,Omg omg omg omg omg omg omg omg… OMFG!
Non-Malicious,I think there is hope
Non-Malicious,My god!
Non-Malicious,THIS IS SO LITT!!
Non-Malicious,Oh yass
Non-Malicious,Finally!
Non-Malicious,True is a sweet and very happy baby
Non-Malicious,Sweet angel!
Non-Malicious,Mom and daughter. It doesn’t get better than this
Non-Malicious,"Lovely picture,,, beautiful baby and mama"
Non-Malicious,Wowwwwwwwwwww
Non-Malicious,Beauty
Non-Malicious,Our future depends on it
Non-Malicious,"Im not American if I was, I would definitely do everything you said in this video"
Non-Malicious,Thank you for caring and taking your time as well so much more you do
Non-Malicious,What a huge blessing that this was saved. Onward and upward.
Non-Malicious,One victory at a time....keep 'em coming!!
Non-Malicious,Thank you so much. So heartening to hear good news.
Non-Malicious,I love you soooo much
Non-Malicious,Be nice and help us all to be good
Non-Malicious,You are such a beautiful soul
Non-Malicious,Awhhhh love u the moon and back
Non-Malicious,Tudo Lindo
Non-Malicious,All this love needs a home
Non-Malicious,Hottie damn
Non-Malicious,Nice… nice…
Non-Malicious,"No discrimination, we must strive the best"
Non-Malicious,You will change the world soon! Believe in yourself!
Non-Malicious,These are amazing! Can we see some of your younger kid’s drawings? My sons put so much effort into theirs!
Non-Malicious,really like your sharing. Wonderful
Non-Malicious,Nice mission of process to end violence on schools around the world
Non-Malicious,Hope and pray she gets better soonest
Non-Malicious,I really hope this girl is good
Non-Malicious,Amazing piece of work
Non-Malicious,My prayers are with this percious child
Non-Malicious,Thanks for all you’re doing for this children and others around this world may GOD bless all of you!
Non-Malicious,Amazing work!
Non-Malicious,So proud of a fellow Ukranian!! What an inspiration
Non-Malicious,Congratulations!
Non-Malicious,I hope you laugh everyday
Non-Malicious,Great goals to beat air pollution with marathon together toward health for all
Non-Malicious,Appreciate it much!
Non-Malicious,I hope this post could encourage people out there to help the recovery because at the end they deserve a better life after the tragedy. Send love to them
Non-Malicious,They are God’s earthly angels
Non-Malicious,Your beauty is natural keep that natural smile it helps
Non-Malicious,Sweetheart
Non-Malicious,God bless you for your kindness
Non-Malicious,Nice shot you could check us out
Non-Malicious,"Congrats… keep it up… touch lives,, its what we live for"
Non-Malicious,Absolutely a real down to earth man
Non-Malicious,How great is it to be paid to read other people’s words!
Non-Malicious,My God!!! What a man…
Non-Malicious,Very funny hahahahaha
Non-Malicious,Take care of yourself! We all love you and have your back!
Non-Malicious,Living legend
Non-Malicious,You’re a goddess Queen
Non-Malicious,"My god, she was very pretty since she was little"
Non-Malicious,"You’re truly a blessing, you’re leading these people into wonders and dreams. It’s amazing. Your work is amazing!"
Non-Malicious,"So much love to you! Keep up I know you don’t need me to say that, but please do so"
Non-Malicious,So cute
Non-Malicious,"I hope you’re doing well and from someone who personally knows how you fell, I am very sorry. Stay strong. That’s all we have"
Non-Malicious,Beauty queen!
Non-Malicious,Gorgeous
Non-Malicious,Happy late birthday! Love you lol btw we have the same birthday!!
Non-Malicious,Send me something dawgg. Let’s work!
Non-Malicious,I love you baby
Non-Malicious,I love you. That’s all
Non-Malicious,The Greatest of All Time
Non-Malicious,Your story is my inspiration
Non-Malicious,U THE GREATEST
Non-Malicious,So much respect for your music that you don’t just talk about money. You do your real stuff big respect for that.
Non-Malicious,Bro soooo good
Non-Malicious,Love your loyalty money is not all
Non-Malicious,The best
Non-Malicious,Great team
Non-Malicious,You can do it guys!
Non-Malicious,Come on my friend!
Non-Malicious,Keep grinding!
Non-Malicious,I wish you a great mood and a great day!
Non-Malicious,Great of you!
Non-Malicious,Good job!
Non-Malicious,I pray to god to keep and protect you Amen.
Non-Malicious,I love that haircut
Non-Malicious,Amazing result what a team… great over achievement you will be remembered forever  
Non-Malicious,now well done
Non-Malicious,You’re the future captain
Non-Malicious,He is so amazing!
Non-Malicious,God bless you!
Non-Malicious,Go on lad! Absolute quality mate!
Non-Malicious,BRAVO
Non-Malicious,GOOD JOB< USE YOUR INFLUENCE TO SPREAD LOVE AND POSITIVITY. GOD LOVES YOU. BLESS
Non-Malicious,Great teamwork
Non-Malicious,He is beautiful in the world his face is cute
Non-Malicious,I just had a look at your photos. Your perspective is normal but composition is great!
Non-Malicious,He’s in safe hands!!!
Non-Malicious,"Hey, I hope you have a wonderful day from me"
Non-Malicious,Niceeee! Greetings from other side of the world
Non-Malicious,Stumbled upon this today the tour and customer service was amazing and on top of that its good to see a company do something nice for students. Much love.
Non-Malicious,Love your feed!
Non-Malicious,I see you in my dreams so you know I’m somebody
Non-Malicious,You saved the day with this one
Non-Malicious,Best biopic ever
Non-Malicious,Love that film
Non-Malicious,RIP Ray Charles Gone but never ever forgotten
Non-Malicious,U are funny very talented one of my favorite Jamie we need this again
Non-Malicious,Yes I appreciate that!
Non-Malicious,He’s got a GREAT voice!
Non-Malicious,Send us your meaningful life experiences in the form of a picture and we will share it with our new community. Stay blessed
Non-Malicious,"Gorgeous man, brilliant actor"
Non-Malicious,Happy birthday frank ocean you changed my life and I wouldn’t have a career without you you’re also the greatest songwriter of all time
Non-Malicious,Greatest artist alive
Non-Malicious,Big smile in a good mood
Non-Malicious,Perfect!
Sexist,I would love a female president though.
Sexist,What is going on with white women?
Sexist,He is so girly
Sexist,I don't trust her one bit.
